motion_id,mean_intra_caption_sim,num_captions
M007614,0.5122665166854858,3
M009024,0.5123438835144043,3
M013238,0.512355625629425,3
013238,0.512355625629425,3
M011333,0.5124128460884094,3
011333,0.5124128460884094,3
M001455,0.5125448703765869,3
M010461,0.512580156326294,3
M013372,0.5126470327377319,3
M010129,0.5127407908439636,3
003266,0.5128936767578125,3
M005034,0.5130302309989929,3
M013587,0.5130402445793152,3
010461,0.5130877494812012,3
003131,0.5132315158843994,3
010466,0.5133419632911682,3
001320,0.5133700370788574,3
007614,0.5134013295173645,3
001455,0.5135036110877991,3
006150,0.5135217905044556,3
013731,0.5136685371398926,3
002054,0.5136777758598328,3
M008874,0.5136942863464355,3
M007528,0.5137321949005127,3
013133,0.5139894485473633,3
M005412,0.5140678286552429,3
006306,0.5140842795372009,3
005831,0.5142234563827515,3
012927,0.5142701268196106,3
012851,0.5143311619758606,3
011974,0.5143651366233826,3
001672,0.5145168900489807,3
M011975,0.5145396590232849,3
M012884,0.5146619081497192,3
M005519,0.5148208141326904,3
008784,0.5148320198059082,3
009252,0.5148860812187195,3
012085,0.5149526596069336,3
M000193,0.5155724883079529,3
000193,0.5155724883079529,3
M000957,0.515699565410614,2
M001320,0.5159027576446533,3
M002732,0.5159547328948975,3
M011659,0.5159608721733093,3
006350,0.5161675810813904,3
M003450,0.5162115693092346,3
003450,0.5162116885185242,3
005412,0.5164232850074768,3
001964,0.5164894461631775,3
M001964,0.5165237784385681,3
008004,0.516559898853302,3
M006647,0.516592264175415,3
M012085,0.516783595085144,3
M005051,0.5168558955192566,3
009243,0.5168600678443909,3
M009243,0.5168601274490356,3
M011401,0.5169159770011902,3
M012926,0.5169969201087952,3
M001150,0.5170066952705383,3
M009255,0.5172085165977478,3
008874,0.5174691081047058,3
004792,0.5175159573554993,3
002858,0.5175456404685974,3
009255,0.5178488492965698,3
011401,0.5179278254508972,3
M012473,0.5181213617324829,3
002732,0.5181974768638611,3
M002858,0.5182066559791565,3
001709,0.5183022618293762,2
M001709,0.518346905708313,2
M004163,0.518502950668335,3
004163,0.518502950668335,3
M013277,0.5185825824737549,3
M006423,0.5186586976051331,3
M009234,0.5187442302703857,3
005077,0.5188187956809998,3
004713,0.5188353657722473,3
M004713,0.5188353657722473,3
009024,0.5188379883766174,3
M004792,0.5188677906990051,3
M003737,0.5189735293388367,3
M010307,0.5190226435661316,3
M007612,0.519024133682251,3
M009063,0.5190308094024658,3
008256,0.5191665291786194,3
M008256,0.5191665291786194,3
013100,0.5192152857780457,3
M014071,0.5193778872489929,3
014071,0.5193779468536377,3
M001307,0.5194427371025085,3
001307,0.5194427371025085,3
M005601,0.5196389555931091,3
005601,0.5196390151977539,3
008003,0.5196656584739685,3
002517,0.5197219848632812,3
008134,0.5198156833648682,3
004486,0.5198484063148499,3
M008784,0.519989550113678,3
006423,0.5200421214103699,3
M002869,0.520124614238739,3
M012851,0.5203922390937805,3
006076,0.5204082131385803,3
M008980,0.5204762816429138,3
011975,0.5204890370368958,3
M009930,0.5206306576728821,3
M012814,0.5207037329673767,3
012814,0.5207037329673767,3
007066,0.5212402939796448,3
M007066,0.5213568210601807,3
M001430,0.5213808417320251,3
